visual_beat_id,start_sec,end_sec,section_id,transition_primitive,layers_persisting,layers_entering,layers_exiting,on_screen_text,notes
B01,0.000,0.050,0,hardCut,,poster(logo+cast band),,DOUBLE / AN AI VERSION OF YOU,3-frame poster flash then black reset
B02,0.050,0.900,1,typeOnCenter,black bg,WHAT IF... center text,poster,WHAT IF...,black frames 2-3 then WHAT IF readable by frame 4
B03,0.900,2.333,1,sharedCenterReplace,black bg,ring(cyan) + scan HUD(top-left) + answer line,WHAT IF...,YOU HAD A SECOND CHANCE,ring rotates continuously; HUD lines accrete one by one
B04,2.333,4.200,1,sharedCenterReplace,ring + scan HUD,answer line 2; ring shifts cyan-to-red,answer line 1,TO MAKE IT RIGHT?,ring color drift = only palette change; HUD keeps accreting
B05,4.200,4.800,2,textResetLoop,black bg; faint silhouettes fade in low,WHAT IF... reset,ring + HUD,WHAT IF...,silhouette pair emerges bottom half during hold
B06,4.800,6.533,2,persistentLayerSwap,silhouette pair(bottom),chat bubbles UI(top) + phrase,WHAT IF...,YOU COULD PRACTICE / THAT HARD CONVERSATION,bubbles pulse and add while figures persist
B07,6.533,8.600,2,persistentLayerSwap,silhouette pair,phrase 3; bubble layout mutates,phrase 2,BEFORE IT EVER HAPPENED?,figures never cut; only top UI + text change
B08,8.600,9.400,3,textResetLoop,black bg,WHAT IF... + small ring re-flash,silhouettes + bubbles,WHAT IF...,glitch flavor on reset
B09,9.400,10.300,3,sharedCenterReplace,center axis,node-graph family diagram(top) + phrase,WHAT IF...,YOU HAD A DOUBLE,diagram of 4 avatars linked by lines
B10,10.300,10.800,3,wordToLogoMorph,center axis,DOUBLE wordmark scale/glitch hit,phrase + diagram,DOUBLE,word becomes brand logo in place
B11,10.800,12.600,4,persistentLayerSwap,DOUBLE wordmark(center),cast photo band(bottom) + caption,,AN AI VERSION OF YOU,poster assembles: logo persists; family photo slides in below
B12,12.600,14.200,4,persistentLayerSwap,cast photo band,chat-card UI(top) + caption swap,wordmark,TALKING LIKE YOU,poster deconstructs into feature cards; family stays
B13,14.200,15.900,4,cardSwapOverAnchor,cast photo band,reaction card + solo portrait(Katya),chat card,REACTING LIKE YOU,solo portrait pops beside caption
B14,15.900,18.500,4,cardSwapOverAnchor,cast photo band,decision card + solo portrait(Gosha),reaction card,MAKING CHOICES LIKE YOU,family photo variant reshuffles mid-beat
