time_sec,sfx_type,description,leads_picture_by_ms
0.224,digital tick,Hook text/system activation; short bright transient under WHAT IF.,0
1.056,scan reveal,AI ring reaches readable brightness; soft electronic sweep.,0
2.88,low whoosh,Silhouette video becomes prominent under the ring.,0
4.384,digital reveal,Conversation interface begins assembling.,50
5.835,UI pop / typing,THAT HARD CONVERSATION phrase and chat UI emphasis.,0
7.093,network chime,Relationship graph becomes readable.,0
8.683,glitch whoosh,Hook composition collapses to WHAT IF reset.,0
10.08,logo impact,DOUBLE wordmark reveal/scale hit.,0
10.795,section impact,Concept poster finishes assembling.,0
12.8,card reveal,Katya/Ivan card pair entrance.,0
14.251,card swap,Luba/Gosha reaction-card replacement.,0
16.117,branching UI accent,Decision tree begins drawing.,0
19.467,world reveal impact,Hard cut to warm village aerial.,0
21.781,UI generation reveal,Personality panel and Create Your Double hub appear.,0
24.224,low digital impact,Hard cut to pixel world.,-190
27.137,UI impact,Every Conversation hard cut/reveal.,30
28.651,choice thump / click,Conversation card morphs to decision menu.,0
30.869,network UI accent,Relationship graph/trust update appears.,0
35.033,warning impact,SURVIVAL MODE INITIATED title hit.,0
41.433,selection whoosh,Gosha card expands to full-body character.,0
43.754,cursor/select accents,Return to panel and Ivan selection sequence.,0
45.962,cursor/select accents,Katya selection sequence.,0
48.459,cursor/select accents,Lyuba selection sequence.,0
53.301,radial transition hit,Lyuba blur resolves into pressure gauge.,-200
54.133,gauge tick,Needle movement through low/mid range.,0
54.827,critical impact,Needle reaches red zone / CRITICAL label.,0
56.075,text reveal,SEE WHAT HAPPENS types on black.,0
57.035,map impact,Night world dashboard hard cut.,0
59.147,URL sting,Mid-trailer WWW.DOUBLAND.AI plate reveal.,0
62.155,time-state hit,Pixel village switches day to night.,0
63.093,map cut impact,Hard cut to top-down 3D village.,0
64.363,replay UI accent,Replay graphic and headline appear.,0
66.433,section impact,Hard cut to not-just-avatars card row.,0
68.224,dashboard expansion,THEY LEARN / Survival dashboard reveal.,0
69.579,UI whoosh,THEY CHANGE / alliances card replacement.,0
70.432,digital accent,THEY SURPRISE YOU / activity-feed proof.,0
71.667,cinematic transition,Hard cut to foggy deck; energy release.,0
74.293,final question hit,WHAT WOULD MY DOUBLE DO? reveal.,0
75.253,logo resolve,Blue URL begins taking over from question.,0
75.776,final chime / tail,URL becomes primary and mix resolves.,0
